Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 15, 	Batch:0, 	Train Loss = 0.184021, 	Val Loss = 0.255718
Epoch 15, 	Batch:1, 	Train Loss = 0.137221, 	Val Loss = 0.255718
Epoch 15, 	Batch:2, 	Train Loss = 0.143259, 	Val Loss = 0.255718
Epoch 15, 	Batch:3, 	Train Loss = 0.135538, 	Val Loss = 0.255718
Epoch 15, 	Batch:4, 	Train Loss = 0.163755, 	Val Loss = 0.255718
Epoch 15, 	Batch:5, 	Train Loss = 0.160389, 	Val Loss = 0.255718
Epoch 15, 	Batch:6, 	Train Loss = 0.160348, 	Val Loss = 0.255718
Epoch 15, 	Batch:7, 	Train Loss = 0.163606, 	Val Loss = 0.255718
Epoch 16, 	Batch:0, 	Train Loss = 0.183981, 	Val Loss = 0.255574
Epoch 16, 	Batch:1, 	Train Loss = 0.136856, 	Val Loss = 0.255574
Epoch 16, 	Batch:2, 	Train Loss = 0.142992, 	Val Loss = 0.255574
Epoch 16, 	Batch:3, 	Train Loss = 0.135196, 	Val Loss = 0.255574
Epoch 16, 	Batch:4, 	Train Loss = 0.163467, 	Val Loss = 0.255574
Epoch 16, 	Batch:5, 	Train Loss = 0.160188, 	Val Loss = 0.255574
Epoch 16, 	Batch:6, 	Train Loss = 0.160132, 	Val Loss = 0.255574
Epoch 16, 	Batch:7, 	Train Loss = 0.163477, 	Val Loss = 0.255574
Epoch 17, 	Batch:0, 	Train Loss = 0.183910, 	Val Loss = 0.255375
Epoch 17, 	Batch:1, 	Train Loss = 0.137357, 	Val Loss = 0.255375
Epoch 17, 	Batch:2, 	Train Loss = 0.143202, 	Val Loss = 0.255375
Epoch 17, 	Batch:3, 	Train Loss = 0.135412, 	Val Loss = 0.255375
Epoch 17, 	Batch:4, 	Train Loss = 0.163581, 	Val Loss = 0.255375
Epoch 17, 	Batch:5, 	Train Loss = 0.160323, 	Val Loss = 0.255375
Epoch 17, 	Batch:6, 	Train Loss = 0.160199, 	Val Loss = 0.255375
Epoch 17, 	Batch:7, 	Train Loss = 0.163550, 	Val Loss = 0.255375
Epoch 18, 	Batch:0, 	Train Loss = 0.183917, 	Val Loss = 0.255311
Epoch 18, 	Batch:1, 	Train Loss = 0.137422, 	Val Loss = 0.255311
Epoch 18, 	Batch:2, 	Train Loss = 0.143076, 	Val Loss = 0.255311
Epoch 18, 	Batch:3, 	Train Loss = 0.135228, 	Val Loss = 0.255311
Epoch 18, 	Batch:4, 	Train Loss = 0.163414, 	Val Loss = 0.255311
Epoch 18, 	Batch:5, 	Train Loss = 0.160087, 	Val Loss = 0.255311
Epoch 18, 	Batch:6, 	Train Loss = 0.159962, 	Val Loss = 0.255311
Epoch 18, 	Batch:7, 	Train Loss = 0.163301, 	Val Loss = 0.255311
Epoch 19, 	Batch:0, 	Train Loss = 0.183767, 	Val Loss = 0.255004
Epoch 19, 	Batch:1, 	Train Loss = 0.137381, 	Val Loss = 0.255004
Epoch 19, 	Batch:2, 	Train Loss = 0.143005, 	Val Loss = 0.255004
Epoch 19, 	Batch:3, 	Train Loss = 0.135143, 	Val Loss = 0.255004
Epoch 19, 	Batch:4, 	Train Loss = 0.163331, 	Val Loss = 0.255004
Epoch 19, 	Batch:5, 	Train Loss = 0.159997, 	Val Loss = 0.255004
Epoch 19, 	Batch:6, 	Train Loss = 0.159864, 	Val Loss = 0.255004
Epoch 19, 	Batch:7, 	Train Loss = 0.163227, 	Val Loss = 0.255004
Epoch 20, 	Batch:0, 	Train Loss = 0.183587, 	Val Loss = 0.254674
Epoch 20, 	Batch:1, 	Train Loss = 0.137539, 	Val Loss = 0.254674
Epoch 20, 	Batch:2, 	Train Loss = 0.143057, 	Val Loss = 0.254674
Epoch 20, 	Batch:3, 	Train Loss = 0.135201, 	Val Loss = 0.254674
Epoch 20, 	Batch:4, 	Train Loss = 0.163335, 	Val Loss = 0.254674
Epoch 20, 	Batch:5, 	Train Loss = 0.159992, 	Val Loss = 0.254674
Epoch 20, 	Batch:6, 	Train Loss = 0.159842, 	Val Loss = 0.254674
Epoch 20, 	Batch:7, 	Train Loss = 0.163197, 	Val Loss = 0.254674
Epoch 21, 	Batch:0, 	Train Loss = 0.183439, 	Val Loss = 0.254404
Epoch 21, 	Batch:1, 	Train Loss = 0.137544, 	Val Loss = 0.254404
Epoch 21, 	Batch:2, 	Train Loss = 0.143016, 	Val Loss = 0.254404
Epoch 21, 	Batch:3, 	Train Loss = 0.135149, 	Val Loss = 0.254404
Epoch 21, 	Batch:4, 	Train Loss = 0.163250, 	Val Loss = 0.254404
Epoch 21, 	Batch:5, 	Train Loss = 0.159905, 	Val Loss = 0.254404
Epoch 21, 	Batch:6, 	Train Loss = 0.159749, 	Val Loss = 0.254404
Epoch 21, 	Batch:7, 	Train Loss = 0.163103, 	Val Loss = 0.254404
Epoch 22, 	Batch:0, 	Train Loss = 0.183261, 	Val Loss = 0.254080
Epoch 22, 	Batch:1, 	Train Loss = 0.137565, 	Val Loss = 0.254080
Epoch 22, 	Batch:2, 	Train Loss = 0.142985, 	Val Loss = 0.254080
Epoch 22, 	Batch:3, 	Train Loss = 0.135130, 	Val Loss = 0.254080
Epoch 22, 	Batch:4, 	Train Loss = 0.163177, 	Val Loss = 0.254080
Epoch 22, 	Batch:5, 	Train Loss = 0.159850, 	Val Loss = 0.254080
Epoch 22, 	Batch:6, 	Train Loss = 0.159672, 	Val Loss = 0.254080
Epoch 22, 	Batch:7, 	Train Loss = 0.163037, 	Val Loss = 0.254080
Epoch 23, 	Batch:0, 	Train Loss = 0.183038, 	Val Loss = 0.253734
Epoch 23, 	Batch:1, 	Train Loss = 0.137580, 	Val Loss = 0.253734
Epoch 23, 	Batch:2, 	Train Loss = 0.142908, 	Val Loss = 0.253734
Epoch 23, 	Batch:3, 	Train Loss = 0.135071, 	Val Loss = 0.253734
Epoch 23, 	Batch:4, 	Train Loss = 0.163047, 	Val Loss = 0.253734
Epoch 23, 	Batch:5, 	Train Loss = 0.159736, 	Val Loss = 0.253734
Epoch 23, 	Batch:6, 	Train Loss = 0.159536, 	Val Loss = 0.253734
Epoch 23, 	Batch:7, 	Train Loss = 0.162908, 	Val Loss = 0.253734
Epoch 24, 	Batch:0, 	Train Loss = 0.182747, 	Val Loss = 0.253294
Epoch 24, 	Batch:1, 	Train Loss = 0.137532, 	Val Loss = 0.253294
Epoch 24, 	Batch:2, 	Train Loss = 0.142788, 	Val Loss = 0.253294
Epoch 24, 	Batch:3, 	Train Loss = 0.134968, 	Val Loss = 0.253294
Epoch 24, 	Batch:4, 	Train Loss = 0.162875, 	Val Loss = 0.253294
Epoch 24, 	Batch:5, 	Train Loss = 0.159589, 	Val Loss = 0.253294
Epoch 24, 	Batch:6, 	Train Loss = 0.159373, 	Val Loss = 0.253294
Epoch 24, 	Batch:7, 	Train Loss = 0.162760, 	Val Loss = 0.253294
Epoch 25, 	Batch:0, 	Train Loss = 0.182439, 	Val Loss = 0.252814
Epoch 25, 	Batch:1, 	Train Loss = 0.137532, 	Val Loss = 0.252814
Epoch 25, 	Batch:2, 	Train Loss = 0.142722, 	Val Loss = 0.252814
Epoch 25, 	Batch:3, 	Train Loss = 0.134920, 	Val Loss = 0.252814
Epoch 25, 	Batch:4, 	Train Loss = 0.162744, 	Val Loss = 0.252814
Epoch 25, 	Batch:5, 	Train Loss = 0.159487, 	Val Loss = 0.252814
Epoch 25, 	Batch:6, 	Train Loss = 0.159256, 	Val Loss = 0.252814
Epoch 25, 	Batch:7, 	Train Loss = 0.162653, 	Val Loss = 0.252814
Epoch 26, 	Batch:0, 	Train Loss = 0.182166, 	Val Loss = 0.252376
Epoch 26, 	Batch:1, 	Train Loss = 0.137530, 	Val Loss = 0.252376
Epoch 26, 	Batch:2, 	Train Loss = 0.142664, 	Val Loss = 0.252376
Epoch 26, 	Batch:3, 	Train Loss = 0.134876, 	Val Loss = 0.252376
Epoch 26, 	Batch:4, 	Train Loss = 0.162614, 	Val Loss = 0.252376
Epoch 26, 	Batch:5, 	Train Loss = 0.159371, 	Val Loss = 0.252376
Epoch 26, 	Batch:6, 	Train Loss = 0.159130, 	Val Loss = 0.252376
